Word	Count
cnn	22
world	20
nsa	14
london	9
google	9
best	9
travel	8
worlds	7
ghost	7
football	7
dubai	7
beijing	7
abuse	7
u.s.	6
facebook	6
tv	5
stunning	5
smoking	5
secrets	5
rare	5
job	5
india	5
halloween	5
europe	5
york	4
town	4
syrian	4
restaurants	4
obama	4
mexico	4
merkel	4
kenya	4
ireport	4
inspires	4
greenwald	4
film	4
federer	4
cvs	4
cuba	4
business	4
brazilian	4
brazil	4
america	4
africa	4
watch	3
wars	3
video shocks	3
terrorism	3
tennis	3
syria	3
study	3
spying	3
sport	3
snowden	3
shocks	3
seoul	3
saudi	3
ronaldo	3
roman	3
quest	3
pope	3
planes	3
piracy	3
mcilroy	3
mars	3
kindergarten	3
journalist	3
israeli	3
horror	3
head	3
guide	3
full	3
fight	3
edition	3
drone	3
desert	3
deadly	3
damage	3
cry	3
coolest	3
china	3
chief	3
banksy	3
asia	3
arabia	3
zombie	2
youtube	2
yorkshire	2
xinhua	2
worth	2
wine	2
wildlife	2
weather	2
water	2
vehicles	2
updated	2
unders	2
uefa	2
u.s. africa asia europe	2
u.n.	2
twins	2
trichet	2
town inspires horror film	2
tools	2
too	2
tongue	2
toddlers	2
tobacco	2
terror	2
teen moms	2
teen	2
tech	2
tax	2
tap	2
takes	2
stuffed	2
strike	2
stories	2
star	2
spots	2
sport entertainment tech travel	2
spook	2
spill	2
space	2
south	2
sochi	2
snowdens	2
sins	2
sign	2
sights	2
shanghai	2
send	2
saudi arabia	2
salaam	2
sahara	2
russia	2
runways	2
rules	2
roman eagle	2
report	2
refresh	2
redskins	2
red	2
recovery	2
protest	2
programs	2
privacy	2
president	2
popular	2
police	2
plugins	2
planet	2
pistorius	2
photos	2
philippines	2
pay	2
parisian	2
paris	2
package	2
outrageous	2
opens	2
october	2
notes	2
nikkei	2
nasdaq	2
motorbike	2
moms	2
military base	2
military	2
middle	2
mars india	2
markets	2
maria	2
mans	2
malaria	2
live	2
license	2
legoland	2
latin	2
latakia	2
korean	2
korea	2
kong	2
israel	2
irans	2
iran	2
ipo	2
iphone	2
insider	2
house	2
hotspots	2
hotels	2
hotel	2
hong kong	2
hong	2
hercules	2
haunted	2
graphene	2
gouged	2
golf	2
gmt	2
girl	2
ghana	2
ftse	2
francis	2
foul	2
footballers head	2
footballer	2
folding	2
fifa	2
february	2
featured	2
falls	2
faa	2
eyes tongue	2
eyes	2
expats cry foul	2
expats	2
exorcist	2
examines	2
etna	2
espanol	2
entertainment	2
empire	2
electronics	2
electronic	2
eid	2
east	2
eagle	2
dying	2
dual currency	2
dual	2
dramatic runways	2
dramatic	2
disfigured	2
discovered	2
dax	2
darkest	2
dar	2
currency	2
cska	2
couple	2
contact	2
cnni	2
city	2
chinese	2
chinajapan	2
china-japan	2
ceo	2
career	2
cardinals	2
captures	2
captivity	2
cakes	2
cac	2
business world	2
bodies	2
billionaire brazilians	2
billionaire	2
betty	2
bans	2
bangkok	2
baku	2
bakers	2
aviation	2
austrian	2
asx	2
assad	2
arabic	2
analysis	2
american	2
amanpour	2
aims	2
advertise	2
administration	2
action	2
abandoned	2
