key,value,date
Amsterdam,2,04/25/13
Den,0,04/25/13
Haag,0,04/25/13
Beatrix,4,04/25/13
Willem-Alexander,2,04/25/13
prins,1,04/25/13
kroonprins,0,04/25/13
koningin,1,04/25/13
koningen,0,04/25/13
Koninginnedag,0,04/25/13
koning,1,04/25/13
troonswisseling,1,04/25/13
gemeente,1,04/25/13
kerk,0,04/25/13
Amsterdam,1,04/26/13
Den,1,04/26/13
Haag,1,04/26/13
Beatrix,2,04/26/13
Willem-Alexander,1,04/26/13
prins,1,04/26/13
kroonprins,1,04/26/13
koningin,0,04/26/13
koningen,17,04/26/13
Koninginnedag,0,04/26/13
koning,1,04/26/13
troonswisseling,1,04/26/13
gemeente,1,04/26/13
kerk,1,04/26/13
Amsterdam,0,04/27/13
Den,0,04/27/13
Haag,0,04/27/13
Beatrix,4,04/27/13
Willem-Alexander,4,04/27/13
prins,0,04/27/13
kroonprins,0,04/27/13
koningin,2,04/27/13
koningen,0,04/27/13
Koninginnedag,0,04/27/13
koning,4,04/27/13
troonswisseling,0,04/27/13
gemeente,0,04/27/13
kerk,0,04/27/13
Amsterdam,1,04/28/13
Den,0,04/28/13
Haag,0,04/28/13
Beatrix,5,04/28/13
Willem-Alexander,0,04/28/13
prins,0,04/28/13
kroonprins,0,04/28/13
koningin,0,04/28/13
koningen,0,04/28/13
Koninginnedag,0,04/28/13
koning,1,04/28/13
troonswisseling,1,04/28/13
gemeente,1,04/28/13
kerk,0,04/28/13
Amsterdam,0,04/29/13
Den,0,04/29/13
Haag,0,04/29/13
Beatrix,2,04/29/13
Willem-Alexander,2,04/29/13
prins,0,04/29/13
kroonprins,0,04/29/13
koningin,0,04/29/13
koningen,9,04/29/13
Koninginnedag,0,04/29/13
koning,1,04/29/13
troonswisseling,0,04/29/13
gemeente,0,04/29/13
kerk,0,04/29/13
Amsterdam,1,04/30/13
Den,0,04/30/13
Haag,0,04/30/13
Beatrix,12,04/30/13
Willem-Alexander,1,04/30/13
prins,4,04/30/13
kroonprins,0,04/30/13
koningin,5,04/30/13
koningen,0,04/30/13
Koninginnedag,0,04/30/13
koning,0,04/30/13
troonswisseling,1,04/30/13
gemeente,0,04/30/13
kerk,0,04/30/13
