Word	Count
cnn	23
video	17
typhoon	12
iran	12
google	12
china	12
world	9
airline	8
u.s.	7
twitter	7
tv	7
philippines	7
haiyan	7
africa	7
pope	6
mosley	6
london	6
israel	6
chinas	6
benghazi	6
uk	5
travel	5
sanctions	5
facebook	5
blasts	5
-. -.	5
york	4
weibo	4
talks	4
syrian	4
storm	4
sport	4
seats	4
rabbi	4
popular	4
party	4
obamacare	4
millions	4
max	4
loading	4
live	4
ireport	4
increased	4
income	4
grandmas	4
francis	4
flood	4
death	4
best	4
beijing	4
asia	4
america	4
amanpour	4
activist	4
wrong	3
wall	3
taliban	3
syria	3
super	3
strongest	3
streets	3
storms	3
sos	3
senator	3
rain	3
plane	3
photos	3
mexico	3
meet	3
max mosley	3
markets	3
malala	3
iraqi	3
haunted	3
football	3
europe	3
edition	3
contact	3
closed	3
chess	3
ceo	3
bye	3
business	3
brazil	3
autism	3
africas	3
zone	2
zombie	2
yunus	2
xinhua	2
weeknights	2
weather	2
watch	2
veterans	2
updated	2
u.s. africa asia europe	2
typhoon haiyan	2
tripoli	2
trans	2
tools	2
tiger	2
threat	2
tech	2
suspect	2
survival	2
sues	2
stories	2
stops	2
stallone	2
sport entertainment tech travel	2
space	2
smartphone	2
skydiver	2
silk	2
signs	2
sign	2
shrink	2
shocks	2
send	2
schultz	2
sale	2
rocky	2
refresh	2
red cross	2
red	2
record	2
rbs	2
qa	2
q	2
property	2
programs	2
privacy	2
postsnowden	2
post-snowden age	2
police	2
plugins	2
places	2
pics	2
petersburg	2
path	2
p	2
obama	2
nuclear	2
november	2
nobel	2
nikkei	2
news	2
nasdaq	2
nadal	2
motorsport	2
months	2
mobile	2
minutes	2
middle	2
meteors	2
menendez	2
melbourne	2
mayor	2
martin	2
maps	2
major damage	2
major	2
macau	2
license	2
latin	2
latest	2
labor	2
killed	2
khamenei	2
jellyfish	2
jailbait	2
intelligence	2
inequality	2
impact	2
images	2
illegal pics	2
illegal	2
hundreds	2
human	2
house	2
hotel	2
horror	2
hopes	2
hits	2
hit	2
hercules	2
heinz	2
halloween	2
guide	2
greenhouse	2
greek	2
graphene	2
gmt	2
girls	2
girl	2
giant	2
gender	2
future	2
fuji	2
ftse	2
friend	2
former	2
footballs	2
fly	2
financial impact	2
financial	2
fights sale	2
fights	2
federer	2
featured	2
fats	2
family	2
exclusion zone	2
exclusion	2
espanol	2
entertainment	2
embrace	2
egypt	2
ecb	2
east	2
dubai	2
drawn	2
dortmund	2
detected	2
dax	2
data	2
dark	2
damage	2
cross	2
crazy property bubble	2
crazy	2
concern	2
cnni	2
cia	2
chocolate	2
chinese	2
chernobyl	2
challenge	2
cbs	2
causing	2
camp	2
calls	2
cac	2
business world	2
bubble	2
breaking	2
bionic	2
berlin	2
benghazi minutes	2
bayern	2
barca	2
auction	2
asx	2
arsenal	2
arabic	2
aleppo	2
afghan	2
advertise	2
